Unnamed: 0,country,year,suicides_per_100k,schizophrenia_prev,depressive_prev,anxiety_prev,bipolar_prev,eating_prev,total_mental_illness_prev,ladder_x,mental_wellness_index,ladder_y,socexp_c_pmp,socexp_k_pmp
0,Argentina,2011,-0.5001255385529814,0.3126622,2.4141257,4.8977876,1.0390755,0.3182385,-0.1569914274773693,0.0727519771935669,0.7298689432239176,6.242,,
1,Argentina,2012,-0.3860609785293851,0.31248406,2.4159813,4.910255,1.039073,0.3215158,-0.1482193346352655,0.4208330729616809,0.9551133861263316,6.562,,
2,Argentina,2014,-0.4182730720208236,0.31203017,2.4207559,4.938433,1.0390805,0.3277988,-0.1286860859156089,0.4338861140529847,0.9808452719894172,6.574,,
3,Argentina,2015,-0.488469512580548,0.3119528,2.423345,4.949739,1.0390844,0.3300228,-0.1206059192493229,0.5165553742979122,1.125630806127783,6.65,,
4,Armenia,2011,-1.2446461329147334,0.27981967,2.9046485,3.1495562,0.541904,0.11584397,-1.1591632548370276,-1.8503960769252608,0.5534133108265005,4.474,,
5,Armenia,2012,-1.2015626642528014,0.2800859,2.9182613,3.150064,0.5418589,0.11758394,-1.1510649242462545,-2.0222611179607672,0.3303664705382885,4.316,,
6,Armenia,2014,-1.3082190459141874,0.28063414,2.9476657,3.151906,0.54176444,0.120462425,-1.133651997717493,-1.9852775015354052,0.456593542096275,4.35,,
7,Armenia,2015,-1.2246637215743406,0.28087538,2.9542494,3.151636,0.5417096,0.1219621,-1.1296235167358932,-1.974399967292651,0.3798872710175829,4.36,,
8,Armenia,2016,-1.2037978405977403,0.28138682,2.955971,3.1497703,0.541649,0.123195335,-1.128848024925231,-1.956995912504245,0.3756499530187265,4.376,,
9,Australia,2011,0.0483901073571887,0.38851094,4.661994,5.6058693,1.1250392,0.99799436,1.7553411379796005,1.2725440041692837,-0.5311872411675058,7.345,12.026,8.317
10,Australia,2012,0.1485022322244458,0.3885316,4.630723,5.5849586,1.1250232,1.0032136,1.7316943973852983,1.2779827712906602,-0.6022138583190841,7.35,12.418,8.382
11,Australia,2014,0.2983596556005515,0.38856968,4.56489,5.544875,1.1250142,1.0123483,1.682972165161744,1.2061910452884868,-0.7751407754738087,7.284,13.554,8.566
12,Australia,2015,0.3599085278774069,0.38857755,4.5340767,5.5441623,1.1250105,1.0158271,1.66885041635988,1.237735894592472,-0.791023049644815,7.313,13.693,9.037
13,Austria,2011,0.721206990461846,0.27560493,3.0925705,5.91934,0.90190107,0.55502725,0.7305855700211238,1.144189100104792,-0.3076034603781776,7.227,18.68,8.659
14,Austria,2012,0.6891352566183621,0.27541992,3.0992143,5.931905,0.9018285,0.5582181,0.7417357471058881,1.298650086351892,-0.132220917372358,7.369,18.876,8.827
15,Austria,2014,0.7256041205668652,0.27508944,3.1144185,5.9566393,0.901455,0.5628904,0.7638460926259235,1.1148197576493577,-0.3746304555434312,7.2,19.222,9.025
16,Austria,2015,0.5926155909997476,0.2750848,3.117166,5.963028,0.9011552,0.5627958,0.7682459017322039,1.026711730283053,-0.3341497624488985,7.119,19.211,9.108
17,Austria,2016,0.7120207393300587,0.27593783,3.1172068,5.983274,0.90091336,0.5598134,0.7772677321698278,0.9037955933399384,-0.5854928781599479,7.006,19.064,9.155
18,Bahrain,2011,-1.3715218465703374,0.27152345,4.6143723,4.9203353,0.7766089,0.27338436,0.7868753856812667,-0.6603938307680228,-0.0757473698789521,5.568,,
19,Bahrain,2012,-1.378783374091209,0.27128288,4.5911293,4.9186068,0.7771692,0.27505082,0.7753005746158079,-0.938858707382513,-0.3353759079071119,5.312,,
20,Bahrain,2014,-1.500141925409377,0.27074158,4.5524645,4.909362,0.7779736,0.27849597,0.7530419113613966,-0.2339944884520832,0.5131055255958972,5.96,,
21,Belarus,2011,1.9014701456799272,0.2742778,3.922725,3.5010548,0.5211749,0.12181314,-0.4797039165392781,-0.6625693376165733,-2.0843355667572228,5.566,,
22,Belarus,2014,1.2179476026470002,0.2768987,3.8970487,3.4930503,0.52108866,0.12941444,-0.4915604925248306,-0.3938942418205606,-1.1202813519427302,5.813,,
23,Belgium,2011,1.3071940996162514,0.2739011,3.6392348,5.034762,0.90041107,0.42080608,0.4912222594331746,1.0201852097374018,-0.7782311493120242,7.113,18.066,9.313
24,Belgium,2012,1.196953912553565,0.27387935,3.6182528,5.0539336,0.9004145,0.4234204,0.49161786739204,0.8613732097931991,-0.8271985701524059,6.967,17.698,9.552
25,Belgium,2014,0.9873254006877096,0.27386415,3.5673435,5.090465,0.9004224,0.42841125,0.4868871143009228,0.8287406070649391,-0.6454719079236931,6.937,18.131,9.527
26,Belgium,2015,0.9326769877726296,0.27389416,3.5513406,5.100454,0.900407,0.4296135,0.48447144830932,0.8200385796707362,-0.5971098564112135,6.929,17.939,10.41
27,Belize,2011,0.0280932062796055,0.27007607,3.2525074,4.1159897,0.90720516,0.19155549,-0.280143379353803,0.3000924428671158,0.5521426159413132,6.451,,
28,Belize,2015,-0.4323064519690944,0.2700765,3.27551,4.161798,0.9073512,0.19304523,-0.2446680262540354,-0.2383455021491841,0.4386289760739456,5.956,,
29,Bosnia and Herzegovina,2011,-1.5876254418119005,0.28605464,2.7690966,3.5582404,0.54873204,0.1252981,-1.0102817992634976,-1.4337865154277996,1.1641207256475985,4.857,,
30,Bosnia and Herzegovina,2014,-0.3692339178683588,0.2864464,2.7253609,3.5413043,0.54880935,0.12942567,-1.0385198079075135,-1.3337132003944674,0.0740405253814051,4.949,,
31,Brazil,2011,-0.8342956665572258,0.27709642,3.9285553,8.370385,1.1121776,0.22251388,2.3250450003377643,0.5676797852388537,-0.9230695485416848,6.697,,
32,Brazil,2012,-0.8055165371470169,0.2774228,3.8990006,8.088891,1.1121545,0.22528383,2.1699564730111374,0.7330183057287077,-0.6314216301354126,6.849,,
33,Brazil,2014,-0.7955079298187502,0.27807996,3.853073,7.479013,1.1120973,0.23033057,1.8425531693347117,0.8787772645816048,-0.1682679749343565,6.983,,
34,Brazil,2015,-0.7629203812971245,0.27828407,3.8358004,7.360401,1.1120592,0.23156287,1.7748293319079145,0.8450569084290691,-0.166852042181721,6.952,,
35,Bulgaria,2011,-0.0444344004581071,0.28600302,2.7003644,3.4329734,0.4665672,0.14322583,-1.140348959125102,-2.486731830126344,-1.3019484705431346,3.889,11.0,4.9
36,Bulgaria,2012,0.2036941773024356,0.28650185,2.6894946,3.422339,0.46650815,0.14473698,-1.1501954830989756,-2.386658515093011,-1.4401572092964712,3.981,11.0,5.0
37,Bulgaria,2014,-0.0871244019847324,0.2874742,2.676565,3.4013243,0.46645012,0.14818966,-1.165089850820203,-2.128860953539752,-0.8766467007348167,4.218,12.1,5.7
38,Canada,2011,0.0448179631282471,0.2884196,3.1614926,4.296102,0.8054201,0.4237151,-0.1603855685205965,1.440058031507688,1.5556256369000374,7.499,8.665,8.164
39,Canada,2012,0.1143125886301742,0.28843358,3.186795,4.311892,0.80541104,0.4240799,-0.1395063110568782,1.416127456173631,1.441321178600335,7.477,8.749,8.231
40,Chile,2011,0.2341091150336613,0.31775567,3.6592705,5.5728517,0.9952963,0.33186218,0.797355793858784,-0.0512519131738233,-1.0827168220662688,6.128,,
41,Chile,2012,0.0480286511184405,0.3176948,3.66596,5.548886,0.9953042,0.33612755,0.7907772001049065,0.4480269085685642,-0.3907789426547828,6.587,,
